2025-11-21 08:32:56	 471	 -96	784	56	 82.97	 -1	-1 	0
2025-11-21 08:32:57	 506	 -112	729	56	 165.59	 -4	1 	0
2025-11-21 08:32:58	 541	 -334	673	56	 251.72	 -6	-6 	0
2025-11-21 08:32:59	 576	 -442	604	56	 139.22	 -7	2 	0
2025-11-21 08:33:00	 611	 -552	713	56	 63.63	 -1	7 	0
2025-11-21 08:33:01	 646	 -468	879	56	 16.17	 1	2 	0
2025-11-21 08:33:02	 681	 -465	823	56	 277.73	 0	-3 	0
2025-11-21 08:33:03	 716	 -465	793	56	 277.73	 0	-1 	0
2025-11-21 08:33:04	 753	 -424	633	56	 339.26	 5	-6 	0
2025-11-21 08:33:05	 788	 -281	609	56	 102.30	 0	0 	0
2025-11-21 08:33:06	 823	 -293	697	56	 156.80	 -1	1 	0
2025-11-21 08:33:07	 858	 -288	613	56	 53.09	 -1	-5 	0
2025-11-21 08:33:08	 893	 -182	726	56	 79.45	 2	4 	0
2025-11-21 08:33:09	 928	 -151	776	56	 75.94	 0	0 	0
2025-11-21 08:33:13	 1058	 -124	858	42	 72.42	 0	2 	0
2025-11-21 08:33:14	 1093	 -112	896	8	 14.41	 0	0 	0
2025-11-21 08:33:15	 1128	 89	848	8	 16.17	 2	0 	0
2025-11-21 08:33:16	 1163	 174	992	8	 75.94	 2	7 	0
2025-11-21 08:33:17	 1198	 185	1211	8	 102.30	 -2	6 	0
2025-11-21 08:33:18	 1233	 161	1262	8	 198.98	 -3	-1 	0
2025-11-21 08:33:19	 1268	 -65	1208	48	 179.65	 -9	-1 	0
2025-11-21 08:33:20	 1303	 -306	1250	8	 61.88	 1	4 	0
2025-11-21 08:33:21	 1338	 -276	1251	8	 312.89	 3	-4 	0
2025-11-21 08:33:22	 1373	 -86	1087	32	 309.38	 6	-6 	0
2025-11-21 08:33:23	 1408	 -1	856	8	 186.33	 -6	-5 	0
2025-11-21 08:33:24	 1443	 -203	903	8	 124.80	 -6	5 	0
2025-11-21 08:33:25	 1478	 -302	978	8	 77.34	 -2	3 	0
2025-11-21 08:33:26	 1513	 -206	1124	8	 52.73	 4	6 	0
2025-11-21 08:33:27	 1548	 -76	1369	56	 105.47	 0	8 	0
2025-11-21 08:33:28	 1583	 -110	1552	56	 26.37	 -1	0 	0
2025-11-21 08:33:32	 1715	 -94	1561	56	 358.24	 4	-1 	0
2025-11-21 08:33:33	 1750	 24	1557	56	 31.64	 0	-1 	0
2025-11-21 08:33:34	 1785	 85	1592	56	 58.01	 1	0 	0
2025-11-21 08:33:35	 1820	 132	1647	56	 77.34	 0	0 	0
2025-11-21 08:33:38	 1935	 171	1644	56	 354.73	 5	-1 	0
2025-11-21 08:33:39	 1970	 428	1595	56	 342.42	 7	-3 	0
2025-11-21 08:33:40	 2005	 599	1488	56	 224.65	 0	0 	0
2025-11-21 08:33:42	 2065	 631	1495	56	 201.80	 2	2 	0
2025-11-21 08:33:43	 2100	 719	1587	56	 171.91	 0	-1 	0
2025-11-21 08:33:44	 2142	 663	1569	56	 178.95	 -1	-1 	0
2025-11-21 08:33:47	 2238	 666	1566	56	 170.16	 0	-1 	0
2025-11-21 08:33:48	 2290	 671	1582	56	 98.09	 -1	4 	0
2025-11-21 08:33:49	 2325	 637	1698	56	 194.77	 0	0 	0
2025-11-21 08:33:50	 2360	 594	1605	56	 221.13	 -4	-5 	0
2025-11-21 08:33:51	 2395	 555	1560	56	 108.63	 -1	-1 	0
2025-11-21 08:33:52	 2430	 523	1647	56	 156.09	 -1	1 	0
2025-11-21 08:33:53	 2465	 561	1621	56	 210.59	 -6	-3 	0
2025-11-21 08:33:54	 2500	 462	1552	56	 242.23	 -2	-1 	0
2025-11-21 08:33:55	 2535	 428	1569	56	 300.23	 -2	4 	0
2025-11-21 08:33:56	 2570	 339	1596	56	 185.98	 -7	-3 	0
2025-11-21 08:33:57	 2605	 144	1682	56	 112.15	 -1	3 	0
2025-11-21 08:33:58	 2640	 144	1757	56	 92.81	 0	0 	0
2025-11-21 08:34:01	 2727	 146	1677	56	 99.84	 0	-8 	0
2025-11-21 08:34:02	 2762	 245	1552	56	 105.12	 1	0 	0
2025-11-21 08:34:03	 2797	 258	1554	56	 152.58	 -3	1 	0
2025-11-21 08:34:04	 2832	 186	1595	56	 84.02	 -1	0 	0
2025-11-21 08:34:05	 2867	 175	1552	56	 91.05	 -1	0 	0
2025-11-21 08:34:08	 2984	 284	1571	56	 319.22	 6	-2 	0
2025-11-21 08:34:09	 3019	 431	1512	56	 75.23	 0	-1 	0
2025-11-21 08:34:10	 3054	 428	1451	56	 149.06	 -3	0 	0
2025-11-21 08:34:11	 3089	 336	1528	56	 149.06	 0	2 	0
2025-11-21 08:34:12	 3124	 278	1613	56	 122.70	 -5	5 	0
2025-11-21 08:34:13	 3159	 218	1647	56	 89.30	 -1	0 	0
2025-11-21 08:34:14	 3195	 219	1640	56	 85.78	 0	-1 	0
2025-11-21 08:34:16	 3277	 284	1552	56	 177.19	 4	-1 	0
2025-11-21 08:34:17	 3312	 329	1552	56	 133.24	 0	0 	0
2025-11-21 08:34:20	 3395	 247	1647	56	 110.39	 -2	0 	0
2025-11-21 08:34:21	 3430	 206	1768	56	 106.88	 -1	1 	0
2025-11-21 08:34:23	 3497	 203	1786	56	 106.88	 -1	0 	0
2025-11-21 08:34:24	 3532	 175	1897	48	 13.71	 1	1 	0
2025-11-21 08:34:25	 3567	 383	1923	48	 61.17	 6	4 	0
2025-11-21 08:34:26	 3602	 460	2058	48	 108.63	 0	0 	0
2025-11-21 08:34:27	 3648	 454	2091	48	 108.63	 -2	4 	0
2025-11-21 08:34:28	 3683	 400	2267	48	 115.66	 0	0 	0
2025-11-21 08:34:29	 3718	 399	2332	48	 106.88	 -1	4 	0
2025-11-21 08:34:30	 3759	 483	2360	48	 156.09	 1	0 	0
2025-11-21 08:34:31	 3794	 389	2452	48	 173.67	 -4	0 	0
2025-11-21 08:34:36	 3965	 219	2442	48	 205.31	 -6	-2 	0
2025-11-21 08:34:37	 4000	 144	2396	48	 178.95	 0	-1 	0
2025-11-21 08:34:38	 4045	 54	2421	48	 194.77	 -4	0 	3
